sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),specie
-0.9006811702978088,1.019004351971607,-1.3402265266227624,-1.3154442950077403,0
-1.1430169111851105,-0.13197947932162468,-1.3402265266227624,-1.3154442950077403,0
-1.3853526520724133,0.32841405319566835,-1.3970639535363654,-1.3154442950077403,0
-1.5065205225160652,0.09821728693702184,-1.2833890997091593,-1.3154442950077403,0
-1.0218490407414595,1.2492011182302534,-1.3402265266227624,-1.3154442950077403,0
-0.537177558966854,1.939791417006192,-1.1697142458819532,-1.0521799264271385,0
-1.5065205225160652,0.7888075857129604,-1.3402265266227624,-1.1838121107174393,0
-1.0218490407414595,0.7888075857129604,-1.2833890997091593,-1.3154442950077403,0
-1.7488562634033669,-0.3621762455802712,-1.3402265266227624,-1.3154442950077403,0
-1.1430169111851105,0.09821728693702184,-1.2833890997091593,-1.4470764792980408,0
-0.537177558966854,1.4793978844889,-1.2833890997091593,-1.3154442950077403,0
-1.2641847816287624,0.7888075857129604,-1.226551672795556,-1.3154442950077403,0
-1.2641847816287624,-0.13197947932162468,-1.3402265266227624,-1.4470764792980408,0
-1.870024133847019,-0.13197947932162468,-1.5107388073635717,-1.4470764792980408,0
-0.05250607719224957,2.1699881832648384,-1.4539013804499687,-1.3154442950077403,0
-0.1736739476359004,3.090775248299425,-1.2833890997091593,-1.0521799264271385,0
-0.537177558966854,1.939791417006192,-1.3970639535363654,-1.0521799264271385,0
-0.9006811702978088,1.019004351971607,-1.3402265266227624,-1.1838121107174393,0
-0.1736739476359004,1.7095946507475455,-1.1697142458819532,-1.1838121107174393,0
-0.9006811702978088,1.7095946507475455,-1.2833890997091593,-1.1838121107174393,0
-0.537177558966854,0.7888075857129604,-1.1697142458819532,-1.3154442950077403,0
-0.9006811702978088,1.4793978844889,-1.2833890997091593,-1.0521799264271385,0
-1.5065205225160652,1.2492011182302534,-1.567576234277175,-1.3154442950077403,0
-0.9006811702978088,0.5586108194543139,-1.1697142458819532,-0.9205477421368377,0
-1.2641847816287624,0.7888075857129604,-1.0560393920547466,-1.3154442950077403,0
-1.0218490407414595,-0.13197947932162468,-1.226551672795556,-1.3154442950077403,0
